NumDots,SubdomainLevel,PathLevel,UrlLength,NumDashInHostname,AtSymbol,NumUnderscore,NumPercent,NumAmpersand,NumHash,NumNumericChars,NoHttps,PathLength,IpAddress,TildeSymbol,HostnameLength,DoubleSlashInPath,QueryLength,NumQueryComponents,FrequentDomainNameMismatch,NumSensitiveWords,NumDash,DomainInSubdomains,DomainInPaths,HttpsInHostname,RatioNum2Let,noOfBrackets,NonASCIIChar,RatioSubdomain2Domain,ExeSubdomain,Label
2,2,5,52,0,0,0,0,0,0,3,0,23,0,0,21,0,0,1,1,1,1,0,0,0,0.0789473684210526,0,0,0.0769230769230769,0,0
3,3,2,40,0,0,0,0,0,0,0,0,12,0,0,20,0,0,1,1,1,2,0,0,0,0.0,0,0,0.6666666666666666,0,0
3,2,1,47,2,0,0,0,0,0,0,0,10,0,0,29,0,0,1,1,3,2,0,0,0,0.0,0,0,0.0454545454545454,0,0
2,2,3,58,0,0,0,0,0,0,0,0,36,0,0,14,0,0,1,1,1,2,0,0,0,0.0,0,0,0.1428571428571428,0,0
3,3,2,30,0,0,0,0,0,0,0,0,7,0,0,15,0,0,1,1,1,0,0,0,0,0.0,0,0,1.0,0,0
2,2,1,21,0,0,0,0,0,0,0,0,1,0,0,12,0,0,1,1,1,0,0,0,0,0.0,0,0,0.25,0,0
2,2,2,41,0,0,0,0,0,0,0,0,21,0,0,12,0,0,1,1,1,0,0,0,0,0.0,0,0,0.25,0,0
1,1,3,48,1,0,0,0,1,0,2,1,17,0,0,12,0,11,2,1,0,2,0,0,0,0.0606060606060606,0,0,0.0,0,0
3,2,1,47,0,0,0,0,0,0,0,0,20,0,0,19,0,0,1,1,2,0,0,0,0,0.0,0,0,0.0909090909090909,0,0
2,2,2,50,1,0,0,0,0,0,0,0,26,0,0,16,0,0,1,1,1,2,0,0,0,0.0,0,0,0.125,0,0
2,2,1,34,1,0,0,0,0,0,0,0,1,0,0,25,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0588235294117647,0,0
